arf5	ENST00000000233
Efcab2	ENST00000366523
ADSS	ENST00000366535
Akt3	ENST00000366540
CEP170	ENST00000366543
WDR64	ENST00000366550
kmo	ENST00000366555
C1orf57	ENST00000366627
GALNT2	ENST00000366672
NUP133	ENST00000366681
C1orf96	ENST00000366686
SPHAR	ENST00000366688
Hist3h2a	ENST00000366695
C1orf148	ENST00000366713
GUK1	ENST00000366718
GUK1	ENST00000366728
GUK1	ENST00000366729
Mrpl55	ENST00000366732
Mrpl55	ENST00000366740
Mrpl55	ENST00000366744
Mrpl55	ENST00000366746
CDC42BPA	ENST00000366767
C6orf70	ENST00000366771
cabc1	ENST00000366779
mllt4	ENST00000366805
MIXL1	ENST00000366810
ACBD3	ENST00000366812
C6orf123	ENST00000366822
PYCR2	ENST00000366823
SRP9L1	ENST00000366838
DNAH14	ENST00000366848
DNAH14	ENST00000366850
capn8	ENST00000366873
TLR5	ENST00000366881
park2	ENST00000366894
park2	ENST00000366897
eprs	ENST00000366923
slc30a10	ENST00000366926
KCNK2	ENST00000366948
CENPF	ENST00000366955
Vash2	ENST00000366965
flvcr1	ENST00000366971
INTS7	ENST00000366992
Rd3	ENST00000367002
TRAF3IP3	ENST00000367025
CR1	ENST00000367049
TAGAP	ENST00000367061
Cd55	ENST00000367064
C4BPB	ENST00000367078
YOD1	ENST00000367084
dynlt1	ENST00000367089
FAIM3	ENST00000367091
Fam72a	ENST00000367128
SLC26A9	ENST00000367134
Nucks1	ENST00000367142
Tmem81	ENST00000367167
TIAM2	ENST00000367174
PIK3C2B	ENST00000367184
SOX13	ENST00000367203
SNRPEL1	ENST00000367208
CNKSR3	ENST00000367209
ZC3H11B	ENST00000367211
MAGI1	ENST00000367213
CNKSR3	ENST00000367213
MTRF1L	ENST00000367233
CYB5R1	ENST00000367249
LOC100133760	ENST00000367265
Syt2	ENST00000367267
NAV1	ENST00000367300
MTHFD1L	ENST00000367310
TNNT2	ENST00000367317
ddx59	ENST00000367348
C1orf98	ENST00000367355
Ptprc	ENST00000367372
wdr45	ENST00000367375
ATP6V1G3	ENST00000367381
CFHR4	ENST00000367418
KCNT2	ENST00000367433
FAM5C	ENST00000367462
Ust	ENST00000367463
pla2g4a	ENST00000367466
STXBP5	ENST00000367475
PRG4	ENST00000367482
C1orf25	ENST00000367504
GLT25D2	ENST00000367520
utrn	ENST00000367524
utrn	ENST00000367526
NPL	ENST00000367553
AIG1	ENST00000367598
hivep2	ENST00000367604
TOR1AIP1	ENST00000367610
TDRD5	ENST00000367614
C1orf220	ENST00000367638
Heca	ENST00000367658
Rfwd2	ENST00000367666
TNR	ENST00000367671
LOC644877	ENST00000367679
ANKRD45	ENST00000367712
PIGC	ENST00000367728
Olig3	ENST00000367734
Vamp4	ENST00000367740
SELE	ENST00000367777
SELP	ENST00000367791
SELP	ENST00000367793
myb	ENST00000367814
Tbx19	ENST00000367828
DCAF6	ENST00000367839
pou2f1	ENST00000367862
GPA33	ENST00000367868
TBPL1	ENST00000367869
mael	ENST00000367870
Pogk	ENST00000367875
tmco1	ENST00000367881
Tcf21	ENST00000367882
RGS4	ENST00000367909
hsd17b7	ENST00000367915
UAP1	ENST00000367926
FCRLB	ENST00000367948
MOXD1	ENST00000367963
Fcgr3a	ENST00000367969
NR1I3	ENST00000367981
TOMM40L	ENST00000367987
FCER1G	ENST00000367992
dedD	ENST00000368006
SLAMF6	ENST00000368057
MED23	ENST00000368060
MED23	ENST00000368068
copA	ENST00000368069
PEA15	ENST00000368077
TAGLN2	ENST00000368097
VSIG8	ENST00000368102
Fcrl6	ENST00000368106
crp	ENST00000368112
INSRR	ENST00000368195
PRCC	ENST00000368201
PTPRK	ENST00000368202
PTPRK	ENST00000368204
PTPRK	ENST00000368210
C1orf66	ENST00000368216
crabp2	ENST00000368220
crabp2	ENST00000368222
TTC24	ENST00000368236
MEF2D	ENST00000368240
Cct3	ENST00000368259
C6orf174	ENST00000368268
pmf1	ENST00000368276
BGLAP	ENST00000368277
BGLAP	ENST00000368279
Sema4a	ENST00000368284
echdc1	ENST00000368293
Arhgef2	ENST00000368316
kiaa0907	ENST00000368321
Rit1	ENST00000368322
C6orf173	ENST00000368325
GBAP1	ENST00000368374
MUC1	ENST00000368390
TPD52L1	ENST00000368402
Adam15	ENST00000368410
DCST2	ENST00000368424
SHC1	ENST00000368441
SHC1	ENST00000368447
SHC1	ENST00000368453
PYGO2	ENST00000368456
Pbxip1	ENST00000368460
PMVK	ENST00000368467
Adar	ENST00000368471
FAM184A	ENST00000368475
ATP8B2	ENST00000368487
GOPC	ENST00000368498
C1orf43	ENST00000368518
C1orf43	ENST00000368519
PAOX	ENST00000368538
C10orf125	ENST00000368552
Prap1	ENST00000368554
calY	ENST00000368556
Fam26d	ENST00000368597
fam26f	ENST00000368605
LRRC27	ENST00000368610
LRRC27	ENST00000368613
Stk32c	ENST00000368619
Dpysl4	ENST00000368627
LAMA4	ENST00000368640
tube1	ENST00000368657
Slc27a3	ENST00000368659
tube1	ENST00000368662
Wisp3	ENST00000368664
Wisp3	ENST00000368666
FYN	ENST00000368678
FANK1	ENST00000368693
S100a16	ENST00000368706
S100a4	ENST00000368716
S100A5	ENST00000368717
S100A7A	ENST00000368729
bccip	ENST00000368759
Lce1c	ENST00000368768
Lce1e	ENST00000368770
UROS	ENST00000368786
Crct1	ENST00000368790
Flg	ENST00000368796
TCHH	ENST00000368804
MMP21	ENST00000368808
them4	ENST00000368814
Tdrkh	ENST00000368825
Tdrkh	ENST00000368827
mRpL9	ENST00000368829
Mettl10	ENST00000368837
SNX27	ENST00000368843
POGZ	ENST00000368863
RFX5	ENST00000368870
PI4KB	ENST00000368872
PI4KB	ENST00000368874
znf687	ENST00000368879
CUZD1	ENST00000368900
lysmd1	ENST00000368908
GABPB2	ENST00000368917
GABPB2	ENST00000368918
C1orf56	ENST00000368926
PRUNE	ENST00000368936
ANXA9	ENST00000368947
lass2	ENST00000368954
MICAL1	ENST00000368957
PPIL6	ENST00000368958
Setdb1	ENST00000368960
CCDC162	ENST00000368965
ARMC2	ENST00000368972
HTRA1	ENST00000368984
nr2e1	ENST00000368986
plekha1	ENST00000368990
hormad1	ENST00000368995
SEC63	ENST00000369002
ENSA	ENST00000369014
SCML4	ENST00000369025
FGFR2	ENST00000369061
FGFR2	ENST00000369062
INPP5F	ENST00000369083
PRDM1	ENST00000369091
C1orf54	ENST00000369098
GRK5	ENST00000369105
ANP32E	ENST00000369116
C6orf112	ENST00000369122
PLEKHO1	ENST00000369124
HACE1	ENST00000369125
grik2	ENST00000369138
HIST2H4A	ENST00000369157
hist1h4l	ENST00000369157
Hist1h4k	ENST00000369157
Hist1h4j	ENST00000369157
Hist1h4d	ENST00000369157
Hist1h4a	ENST00000369157
Hist1h3i	ENST00000369163
HIST1H3D	ENST00000369163
HIST1H3C	ENST00000369163
HIST2H4B	ENST00000369165
Hist1h4d	ENST00000369165
LOC644634	ENST00000369173
c10orf84	ENST00000369183
NBPF15	ENST00000369189
NBPF12	ENST00000369190
NBPF9	ENST00000369202
NBPF12	ENST00000369202
AE01	ENST00000369202
VAX1	ENST00000369206
NBPF14	ENST00000369219
LOC200030	ENST00000369219
ccnc	ENST00000369220
PPIAL4G	ENST00000369222
NBPF9	ENST00000369226
AE01	ENST00000369226
NBPF1	ENST00000369227
NBPF11	ENST00000369228
USP45	ENST00000369231
Fam160b1	ENST00000369246
ABLIM1	ENST00000369252
KLHL32	ENST00000369261
ABLIM1	ENST00000369266
PIAS3	ENST00000369298
C10orf81	ENST00000369312
casp7	ENST00000369319
NBPF14	ENST00000369323
NBPF10	ENST00000369323
NBPF9	ENST00000369326
NBPF8	ENST00000369328
NBPF1	ENST00000369328
NBPF12	ENST00000369330
AE01	ENST00000369330
casp7	ENST00000369331
NBPF11	ENST00000369334
LOC200030	ENST00000369335
NBPF11	ENST00000369336
NBPF10	ENST00000369336
LOC200030	ENST00000369336
AE01	ENST00000369338
NBPF15	ENST00000369339
Notch2	ENST00000369342
Nrap	ENST00000369343
LOC727927	ENST00000369345
Gja10	ENST00000369352
NBPF12	ENST00000369364
NBPF15	ENST00000369365
NBPF10	ENST00000369365
LOC200030	ENST00000369365
SFRS2IP	ENST00000369367
NBPF1	ENST00000369368
NBPF9	ENST00000369371
NBPF14	ENST00000369371
AE01	ENST00000369371
NBPF9	ENST00000369372
NBPF14	ENST00000369372
PPIAL4E	ENST00000369380
ANKRD6	ENST00000369408
PHGDH	ENST00000369409
Hsd3b2	ENST00000369416
GPAM	ENST00000369425
tbx15	ENST00000369429
Wdr3	ENST00000369441
GDAP2	ENST00000369443
H2AFB2	ENST00000369444
Cd2	ENST00000369477
igsf3	ENST00000369483
C1orf203	ENST00000369492
F8A3	ENST00000369505
VANGL1	ENST00000369509
Sycp1	ENST00000369522
SIKE1	ENST00000369528
OLFML3	ENST00000369551
hipk1	ENST00000369559
Ctag2	ENST00000369585
LOC100127905	ENST00000369586
PHTF1	ENST00000369596
MXI1	ENST00000369614
MOV10	ENST00000369644
NT5E	ENST00000369646
XPNPEP1	ENST00000369659
UBL4A	ENST00000369660
ST7L	ENST00000369664
OR4F13P	ENST00000369688
ME1	ENST00000369705
C10orf79	ENST00000369719
C10orf79	ENST00000369720
Ibtk	ENST00000369751
DENND2D	ENST00000369752
SLK	ENST00000369755
BCKDHB	ENST00000369760
C1orf103	ENST00000369763
taz	ENST00000369776
NEURL	ENST00000369777
SLC16A4	ENST00000369779
NEURL	ENST00000369780
CALHM3	ENST00000369783
FAM40A	ENST00000369794
FAM40A	ENST00000369795
Pdcd11	ENST00000369797
AHCYL1	ENST00000369799
NEURL1B	ENST00000369800
USMG5	ENST00000369811
GSTM2	ENST00000369827
CNNM2	ENST00000369875
Psrc1	ENST00000369904
TEX28	ENST00000369926
OPN1MW2	ENST00000369929
TEX28P2	ENST00000369932
KIAA1324	ENST00000369938
KIAA1324	ENST00000369939
C1orf194	ENST00000369949
OPN1LW	ENST00000369951
IMPG1	ENST00000369952
CLCC1	ENST00000369969
CLCC1	ENST00000369976
myo6	ENST00000369977
AKNAD1	ENST00000369995
NAA10	ENST00000370015
RTEL1	ENST00000370018
slc25a24	ENST00000370041
Ntng1	ENST00000370062
Ntng1	ENST00000370067
PRMT6	ENST00000370078
Ssr4	ENST00000370087
PRIC285	ENST00000370091
mgea5	ENST00000370094
DBT	ENST00000370132
LRRC39	ENST00000370137
DPCD	ENST00000370151
agl	ENST00000370161
Poll	ENST00000370164
LOC401218	ENST00000370171
fam58a	ENST00000370175
Ppdpf	ENST00000370177
Ppdpf	ENST00000370178
Atp2b3	ENST00000370186
DPYD	ENST00000370191
kazald1	ENST00000370199
Trex2	ENST00000370212
haus7	ENST00000370219
lzts2	ENST00000370220
GCLM	ENST00000370238
Chrna4	ENST00000370258
Pnma3	ENST00000370265
CETN2	ENST00000370277
Gabre	ENST00000370325
YTHDF1	ENST00000370333
YTHDF1	ENST00000370334
Ddx43	ENST00000370336
Slc17a9	ENST00000370349
BLOC1S2	ENST00000370372
BLOC1S2	ENST00000370376
CWF19L1	ENST00000370379
CXorf40A	ENST00000370406
ERLIN1	ENST00000370410
SMAP1	ENST00000370442
ids	ENST00000370443
FMR1	ENST00000370471
SPANXN1	ENST00000370493
COL9A1	ENST00000370496
SPANXN2	ENST00000370498
MAGEC1	ENST00000370510
MAGEC1	ENST00000370511
pkn2	ENST00000370513
SPANXA1	ENST00000370518
sh3glb1	ENST00000370558
Odf2l	ENST00000370567
MCF2	ENST00000370576
LOC646626	ENST00000370580
Mcoln3	ENST00000370588
CRTAC1	ENST00000370593
MORN4	ENST00000370635
MAP7D3	ENST00000370660
LAMA5	ENST00000370677
ttll7	ENST00000370704
SAGE1	ENST00000370709
LPHN2	ENST00000370713
Adrm1	ENST00000370744
IFI44	ENST00000370747
FAM122C	ENST00000370785
Fam122b	ENST00000370787
Fam122b	ENST00000370790
FLJ44790	ENST00000370795
HPRT1	ENST00000370796
CCDC160	ENST00000370809
RABGGTB	ENST00000370826
ACADM	ENST00000370841
Mbnl3	ENST00000370857
SLC44A5	ENST00000370859
cryz	ENST00000370871
C6orf142	ENST00000370877
Mst4	ENST00000370887
LRRC1	ENST00000370888
TNNI3K	ENST00000370898
FPGT	ENST00000370898
EXOSC1	ENST00000370902
KLHL31	ENST00000370905
LSM14B	ENST00000370908
ENOX2	ENST00000370927
PTGER3	ENST00000370934
ENOX2	ENST00000370935
CTH	ENST00000370938
FBXO9	ENST00000370939
Ankrd13c	ENST00000370944
LRRC40	ENST00000370952
lrrc7	ENST00000370957
GSTA3	ENST00000370968
WLS	ENST00000370976
cdh26	ENST00000370983
GADD45A	ENST00000370986
serbp1	ENST00000370990
Phactr3	ENST00000371015
MIER1	ENST00000371017
FRAT1	ENST00000371021
Edn3	ENST00000371028
Sgip1	ENST00000371037
Sgip1	ENST00000371039
Pde4b	ENST00000371048
leprot	ENST00000371065
EFHC1	ENST00000371068
ROR1	ENST00000371080
Gnas	ENST00000371081
EFCAB7	ENST00000371088
Snupn	ENST00000371091
XPNPEP2	ENST00000371106
DCAF12L1	ENST00000371126
ODZ1	ENST00000371130
stx16	ENST00000371132
npepl1	ENST00000371137
INADL	ENST00000371158
LOC100129869	ENST00000371169
cyp2j2	ENST00000371204
ENTPD1	ENST00000371205
fggy	ENST00000371215
ALDH18A1	ENST00000371221
SORBS1	ENST00000371227
dab1	ENST00000371233
dab1	ENST00000371236
BSND	ENST00000371265
bmp7	ENST00000371291
CUL4B	ENST00000371323
Cdcp2	ENST00000371330
AURKA	ENST00000371356
Cacna1b	ENST00000371372
RCAN2	ENST00000371374
hspb11	ENST00000371377
hspb11	ENST00000371378
MC3R	ENST00000371389
EHMT1	ENST00000371400
Enpp4	ENST00000371401
Tmem20	ENST00000371408
lgi1	ENST00000371413
lgi1	ENST00000371418
PFDN4	ENST00000371419
Arrdc1	ENST00000371421
Runx2	ENST00000371432
RNF113A	ENST00000371442
DMRTB1	ENST00000371445
PNPLA7	ENST00000371446
RBP4	ENST00000371463
Myof	ENST00000371501
ZFP64	ENST00000371518
EXOC6	ENST00000371552
GRIN1	ENST00000371555
HSP90AB1	ENST00000371556
IDE	ENST00000371581
DPM1	ENST00000371582
ptpn1	ENST00000371621
HPGDS	ENST00000371623
EDF1	ENST00000371648
AGPAT2	ENST00000371696
egfl7	ENST00000371699
RPP30	ENST00000371703
Slc29a1	ENST00000371740
ubac1	ENST00000371756
C1orf185	ENST00000371759
FAF1	ENST00000371778
LCN1L1	ENST00000371781
ifit5	ENST00000371795
FCN1	ENST00000371806
ELAVL4	ENST00000371819
ELAVL4	ENST00000371827
brd4	ENST00000371835
WDR44	ENST00000371848
VAV2	ENST00000371850
LOC388630	ENST00000371865
Klhl13	ENST00000371876
STIL	ENST00000371877
STAMBPL1	ENST00000371922
cyp4b1	ENST00000371923
STAMBPL1	ENST00000371924
Adamts13	ENST00000371929
Rnls	ENST00000371947
C1orf190	ENST00000371980
POMGNT1	ENST00000371992
NCOA3	ENST00000371997
Pak3	ENST00000372007
Gbgt1	ENST00000372038
RALGDS	ENST00000372050
AMMECR1	ENST00000372057
TESK2	ENST00000372086
FAM190B	ENST00000372088
Rgr	ENST00000372094
gtf3c5	ENST00000372097
Mutyh	ENST00000372115
CDHR1	ENST00000372117
GFI1B	ENST00000372122
mrps18a	ENST00000372133
Urod	ENST00000372135
GTF3C4	ENST00000372146
Ddx31	ENST00000372153
Ddx31	ENST00000372155
RSPH9	ENST00000372163
RSPH9	ENST00000372165
C10orf57	ENST00000372181
RAPGEF1	ENST00000372189
PTCH2	ENST00000372194
mat1a	ENST00000372206
BEST4	ENST00000372207
Uck1	ENST00000372208
RPS8P10	ENST00000372209
Uck1	ENST00000372210
KIF2C	ENST00000372217
KIF2C	ENST00000372218
TMEM53	ENST00000372243
ERI3	ENST00000372253
Xpo5	ENST00000372258
CD40	ENST00000372276
DMAP1	ENST00000372283
PSMD10	ENST00000372295
aif1l	ENST00000372297
SLC6A9	ENST00000372306
LOC100128028	ENST00000372317
FAM22G	ENST00000372322
Mmp9	ENST00000372330
Polr1c	ENST00000372340
Zmiz1	ENST00000372347
st3gal3	ENST00000372367
ASS1	ENST00000372386
ASS1	ENST00000372393
ptprf	ENST00000372407
PRPS1	ENST00000372419
Prps1l1	ENST00000372428
C6orf154	ENST00000372441
C1orf84	ENST00000372442
TJAP1	ENST00000372454
CTSA	ENST00000372471
CTSA	ENST00000372474
C9orf50	ENST00000372478
Znf691	ENST00000372503
ZNF503	ENST00000372516
C1orf50	ENST00000372525
SNX21	ENST00000372541
SNX21	ENST00000372545
PPCS	ENST00000372561
Sh3glb2	ENST00000372564
Foxj3	ENST00000372571
SLC22A7	ENST00000372574
TEX13A	ENST00000372575
UBE2C	ENST00000372579
Hivep3	ENST00000372584
SLC22A7	ENST00000372585
LRRC8A	ENST00000372599
LRRC8A	ENST00000372600
Tmsb15a	ENST00000372602
CTPS	ENST00000372621
Tceal1	ENST00000372625
Tceal1	ENST00000372626
NGFRAP1	ENST00000372645
BEX2	ENST00000372674
TCEAL8	ENST00000372685
ZNF684	ENST00000372697
MYST4	ENST00000372711
Sdc4	ENST00000372733
RBPJL	ENST00000372741
matn4	ENST00000372756
NXF2B	ENST00000372758
TCEAL6	ENST00000372774
TOMM34	ENST00000372813
TRIT1	ENST00000372823
PABPC1L	ENST00000372826
Armcx1	ENST00000372829
PABPC4	ENST00000372857
btk	ENST00000372859
SYNPO2L	ENST00000372872
Tbcc	ENST00000372876
C20orf62	ENST00000372910
CENPI	ENST00000372927
dnajc9	ENST00000372950
Fam149b1	ENST00000372955
NOX1	ENST00000372964
NOX1	ENST00000372966
CCND3	ENST00000372988
SYTL4	ENST00000372989
SRPX2	ENST00000373004
Lcn2	ENST00000373013
INPP5B	ENST00000373021
INPP5B	ENST00000373026
Mdfi	ENST00000373051
rspo1	ENST00000373059
DIAPH2	ENST00000373061
SGK2	ENST00000373077
ZC3H12A	ENST00000373082
Grik3	ENST00000373093
LOC100127947	ENST00000373137
MAP7D1	ENST00000373148
C6orf130	ENST00000373154
ak1	ENST00000373157
FLJ41649	ENST00000373171
EIF2C3	ENST00000373185
POU3F4	ENST00000373200
sar1a	ENST00000373236
sar1a	ENST00000373238
sar1a	ENST00000373241
GLP1R	ENST00000373256
Lpin3	ENST00000373257
KIAA0319L	ENST00000373258
PLCG1	ENST00000373272
DNAH8	ENST00000373278
HDLBP	ENST00000373292
Fam129b	ENST00000373312
SCLY	ENST00000373332
MAGT1	ENST00000373336
ZMYM6	ENST00000373340
SLC2A8	ENST00000373371
BPI	ENST00000373376
Zscan20	ENST00000373411
Zscan20	ENST00000373413
Ugt1a1	ENST00000373424
KIAA0406	ENST00000373438
adc	ENST00000373441
ZBTB43	ENST00000373457
vstm2l	ENST00000373458
lmx1b	ENST00000373474
Rnf8	ENST00000373479
KIAA1522	ENST00000373480
PBX3	ENST00000373482
RBBP4	ENST00000373485
TBC1D22B	ENST00000373491
Mapkap1	ENST00000373496
LOC729898	ENST00000373501
Pim1	ENST00000373507
LOC100132304	ENST00000373524
DMRTC1	ENST00000373532
Dmrtc1b	ENST00000373533
BLCAP	ENST00000373537
Hdac1	ENST00000373541
Hdac8	ENST00000373556
Src	ENST00000373558
C1orf91	ENST00000373593
KPNA6	ENST00000373617
KPNA6	ENST00000373625
STRBP	ENST00000373638
ERCC6L	ENST00000373657
Zbtb6	ENST00000373659
Col16a1	ENST00000373667
Col16a1	ENST00000373672
Atoh7	ENST00000373673
OR1L6	ENST00000373684
C6orf89	ENST00000373685
CXCR3	ENST00000373687
herc4	ENST00000373700
Ogt	ENST00000373701
ETV7	ENST00000373737
ETV7	ENST00000373738
rbm18	ENST00000373748
DSN1	ENST00000373750
MAPK13	ENST00000373759
MAPK13	ENST00000373766
Ndufa8	ENST00000373768
DAB2IP	ENST00000373785
TAF1	ENST00000373790
epb41	ENST00000373797
Taf12	ENST00000373824
rcc1	ENST00000373833
PHACTR4	ENST00000373838
Cep110	ENST00000373845
c20orf24	ENST00000373852
C6orf81	ENST00000373866
CHPF	ENST00000373891
IPMK	ENST00000373935
FAM76A	ENST00000373954
PRKG1	ENST00000373975
ZMYM3	ENST00000373981
CD164L2	ENST00000374025
CD164L2	ENST00000374027
ASAH2C	ENST00000374028
LOC643167	ENST00000374038
LOC643167	ENST00000374039
Pacsin1	ENST00000374043
TNFSF15	ENST00000374044
NLGN3	ENST00000374051
AGAP4	ENST00000374056
DFNB31	ENST00000374059
TMEM222	ENST00000374071
slc9a1	ENST00000374084
slc9a1	ENST00000374086
TIMM23B	ENST00000374098
HMGA1	ENST00000374117
C10orf128	ENST00000374156
RPS6KA1	ENST00000374164
POLE3	ENST00000374171
BSPRY	ENST00000374183
ZNF683	ENST00000374203
PTPN20B	ENST00000374239
PDIK1L	ENST00000374271
SNX12	ENST00000374281
C9orf84	ENST00000374283
SLC7A3	ENST00000374299
Tex11	ENST00000374320
SYT15	ENST00000374323
SYT15	ENST00000374328
Tex11	ENST00000374333
FRMPD2	ENST00000374337
PTPN20A	ENST00000374339
PTPN20A	ENST00000374346
Anubl1	ENST00000374370
KIAA0368	ENST00000374378
uqcc	ENST00000374381
CREB1	ENST00000374397
KIF4A	ENST00000374403
c1orf201	ENST00000374404
c1orf201	ENST00000374409
Mdh1b	ENST00000374412
lpar1	ENST00000374430
ZNF485	ENST00000374437
MYOM3	ENST00000374442
SFRS13A	ENST00000374457
hmgcL	ENST00000374487
hmgcL	ENST00000374490
cutA	ENST00000374496
galE	ENST00000374497
cutA	ENST00000374500
LYPLA2P1	ENST00000374501
LYPLA2	ENST00000374502
LYPLA2	ENST00000374514
DAXX	ENST00000374542
PJA1	ENST00000374571
ASAP3	ENST00000374579
PJA1	ENST00000374584
ephb2	ENST00000374627
ephb2	ENST00000374630
ephb2	ENST00000374632
CELA3B	ENST00000374666
Hspg2	ENST00000374676
ACSS2	ENST00000374693
slc44a1	ENST00000374724
HEPH	ENST00000374727
NIPSNAP3A	ENST00000374767
Ntm	ENST00000374786
C9orf107	ENST00000374801
NRP1	ENST00000374822
map1lc3a	ENST00000374837
Fam123b	ENST00000374869
LOC100134381	ENST00000374878
Spin4	ENST00000374884
ECE1	ENST00000374894
Eif4g3	ENST00000374933
HLA-DQB1	ENST00000374943
XAGE1C	ENST00000374959
HLA-DRB5	ENST00000374975
Eif2s2	ENST00000374980
BTNL2	ENST00000374993
Mgat5b	ENST00000374998
HP1BP3	ENST00000375004
C6orf10	ENST00000375009
NOTCH4	ENST00000375023
TTN	ENST00000375038
MAGED2	ENST00000375060
MAGED2	ENST00000375068
Vwa5b1	ENST00000375079
Rnf5	ENST00000375085
RNF5P1	ENST00000375094
AGPAT1	ENST00000375104
c9orf156	ENST00000375117
xpa	ENST00000375128
PQLC2	ENST00000375155
Tstd2	ENST00000375171
KIAA0090	ENST00000375184
HIATL2	ENST00000375223
C9orf21	ENST00000375234
CDC14B	ENST00000375236
TAGLN	ENST00000375278
SP5	ENST00000375281
Fancc	ENST00000375305
CDC16	ENST00000375308
CDC16	ENST00000375310
CDC16	ENST00000375312
APOA1	ENST00000375320
APOA1	ENST00000375323
APOA1	ENST00000375329
IQSEC2	ENST00000375368
PAX7	ENST00000375375
SKIV2L	ENST00000375394
GRTP1	ENST00000375430
GRTP1	ENST00000375431
RCC2	ENST00000375433
cul4a	ENST00000375435
cul4a	ENST00000375440
PCID2	ENST00000375459
PCID2	ENST00000375462
FAM156A	ENST00000375476
FAM55D	ENST00000375478
C2	ENST00000375488
ZNF484	ENST00000375495
ECM2	ENST00000375540
fam20a	ENST00000375556
XAGE1C	ENST00000375567
Spata21	ENST00000375577
XAGE1E	ENST00000375578
XAGE1C	ENST00000375578
XAGE1D	ENST00000375588
XAGE1C	ENST00000375589
c1orf144	ENST00000375590
C1orf89	ENST00000375599
XAGE1B	ENST00000375602
XAGE1E	ENST00000375616
XAGE1A	ENST00000375616
SNORD52	ENST00000375638
SNORD52	ENST00000375639
C6orf48	ENST00000375641
CLCNKB	ENST00000375668
Axin2	ENST00000375702
CARD16	ENST00000375704
MAGED1	ENST00000375722
spen	ENST00000375753
MSH5	ENST00000375755
FBLIM1	ENST00000375766
MAGED1	ENST00000375772
ing1	ENST00000375777
CLIC1	ENST00000375780
CARS2	ENST00000375781
C6orf25	ENST00000375806
C6orf25	ENST00000375809
Col4a1	ENST00000375820
LY6G5C	ENST00000375858
LY6G5B	ENST00000375875
CSNK2B	ENST00000375882
acbd5	ENST00000375889
BAT4	ENST00000375895
BAT4	ENST00000375896
C20orf57	ENST00000375953
ERCC5	ENST00000375955
C20orf57	ENST00000375966
FOXS1	ENST00000375978
NUDT11	ENST00000375992
Fhad1	ENST00000375998
kaz	ENST00000376028
kaz	ENST00000376030
PDPN	ENST00000376057
Aif1	ENST00000376063
AKAP4	ENST00000376064
NCR3	ENST00000376071
ANKRD26	ENST00000376087
Dlg2	ENST00000376104
id1	ENST00000376105
bin1	ENST00000376113
PRAMEF16	ENST00000376121
gdpd1	ENST00000376124
Abi1	ENST00000376134
ALG8	ENST00000376156
PRAMEF5	ENST00000376168
PRAMEF3	ENST00000376173
NTRK2	ENST00000376208
Myo7a	ENST00000376220
AADACL4	ENST00000376221
ZNF549	ENST00000376233
Tmtc4	ENST00000376234
SLC28A3	ENST00000376238
LOC644063	ENST00000376256
TNFRSF1B	ENST00000376259
Klhl35	ENST00000376292
shisa7	ENST00000376325
Gkap1	ENST00000376371
paaF1	ENST00000376384
MDC1	ENST00000376405
ARHGAP21	ENST00000376410
ZNF337	ENST00000376436
KIAA1217	ENST00000376456
c6orf136	ENST00000376473
c6orf134	ENST00000376478
TLE1	ENST00000376484
Mthfr	ENST00000376486
CLCN6	ENST00000376493
Slc15a1	ENST00000376494
CLCN6	ENST00000376496
LOC645381	ENST00000376499
C10orf115	ENST00000376501
PTF1A	ENST00000376504
ttyh1	ENST00000376531
ABCF1	ENST00000376545
Mthfr	ENST00000376585
pygb	ENST00000376595
entpd6	ENST00000376635
entpd6	ENST00000376652
TRIM39	ENST00000376654
mbnl2	ENST00000376685
BMI1	ENST00000376691
vsx1	ENST00000376707
Uggt2	ENST00000376712
Uggt2	ENST00000376722
WDR13	ENST00000376729
GCNT1	ENST00000376730
SLC15A4	ENST00000376744
Ppp1ca	ENST00000376745
Rnf39	ENST00000376746
ppp1r11	ENST00000376758
fbxo44	ENST00000376760
PCSK5	ENST00000376767
TBC1D25	ENST00000376771
DNAJC3	ENST00000376795
HCP5P10	ENST00000376797
GNB2L1	ENST00000376817
Klk9	ENST00000376832
MTOR	ENST00000376838
BTNL3	ENST00000376852
TMEM90B	ENST00000376862
TRPM6	ENST00000376870
abcc4	ENST00000376887
Mog	ENST00000376894
Mog	ENST00000376905
C19orf63	ENST00000376918
C19orf63	ENST00000376920
C5orf45	ENST00000376929
ZNF81	ENST00000376950
GABBR1	ENST00000376952
ZFAND5	ENST00000376960
dnajc1	ENST00000376980
GDA	ENST00000376993
ANKRD36B	ENST00000377003
TIMP1	ENST00000377018
CASZ1	ENST00000377022
C9orf57	ENST00000377024
C9orf85	ENST00000377027
GABBR1	ENST00000377042
araF	ENST00000377045
C10orf114	ENST00000377113
NDFIP2	ENST00000377116
C10orf113	ENST00000377118
GPAT2	ENST00000377137
OR11A1	ENST00000377148
OR11A1	ENST00000377149
OR2J2	ENST00000377167
OR2W1	ENST00000377175
SPDYC	ENST00000377185
Fgfr4	ENST00000377207
TEAD2	ENST00000377214
PLXDC2	ENST00000377242
CTNNBIP1	ENST00000377258
CTNNBIP1	ENST00000377263
Atg2a	ENST00000377264
C10orf112	ENST00000377266
ARL5B	ENST00000377275
C5orf25	ENST00000377277
PGM5	ENST00000377314
CACNB2	ENST00000377315
